signature,mean_auc,min_auc,max_auc,n_cohorts,frac_better_than_chance
Tcell_CD8,0.6287137792843878,0.48901098901098905,0.8163265306122449,8,0.875
Bcell_TLS,0.6278884173104602,0.510989010989011,0.7976190476190476,8,1.0
NK,0.6243253792926486,0.4340659340659341,0.7842565597667639,8,0.875
IFNg_Ayers18,0.6149635383707999,0.4725274725274725,0.8241010689990282,8,0.875
IFNg_core,0.6119487454240572,0.4945054945054945,0.8206997084548104,8,0.875
CYT,0.6084687875250685,0.39560439560439553,0.8056365403304179,8,0.875
Checkpoints,0.6079309003452242,0.4780219780219781,0.7871720116618076,8,0.875
TGFb_EMT,0.5488000121791033,0.375,0.7967032967032968,8,0.75
Angiogenesis,0.521519653737742,0.375,0.7582417582417582,8,0.625
Proliferation,0.4920740320569188,0.33516483516483514,0.6467391304347826,8,0.625
Myeloid_M2,0.48309298544119017,0.3357628765792032,0.7197802197802198,8,0.375
